House Number,Street,First Name,Surname,Age,Relationship to Head of House,Marital Status,Gender,Occupation,Infirmity,Religion
200,Wong Light,Abigail,Miah,25,Daughter,Single,Female,"Radiographer, therapeutic",None,None
201,Wong Light,Ryan,Morris,54,Head,Divorced,Male,Art therapist,None,Christian
202,Wong Light,Lee,Leonard,57,Head,Married,Male,"Presenter, broadcasting",None,Christian
202,Wong Light,Emma,Leonard,58,Wife,Married,Female,Radiation protection practitioner,None,Christian
202,Wong Light,Alice,Leonard,18,Step-Daughter,Single,Female,Student,None,Christian
202,Wong Light,Karen,Leonard,14,Step-Daughter,NA,Female,Student,None,None
203,Wong Light,Jane,Russell,59,Head,Married,Female,Mechanical engineer,None,Christian
203,Wong Light,Karl,Russell,66,Husband,Married,Male,Public relations account executive,None,Christian
204,Wong Light,Sara,Watson,47,Head,Single,Female,"Engineer, manufacturing systems",None,Catholic
204,Wong Light,Sam,Wilson,48,Partner,Single,Male,Exhibition designer,None,Catholic
204,Wong Light,Phillip,Watson,29,Son,Single,Male,Museum education officer,None,Catholic
204,Wong Light,Malcolm,Watson,28,Son,Single,Male,Industrial/product designer,None,Catholic
204,Wong Light,Stacey,Watson,16,Daughter,Unknown,Female,Student,None,None
205,Wong Light,Katy,Allen,50,Head,Married,Female,Writer,None,None
205,Wong Light,Charlie,Allen,54,Husband,Married,Male,Education administrator,None,None
205,Wong Light,Henry,Allen,30,Son,Divorced,Male,Higher education lecturer,None,None
206,Wong Light,Deborah,Davies,66,Head,Married,Female,Administrator,None,Methodist
206,Wong Light,Shaun,Davies,70,Husband,Married,Male,Retired Personnel officer,None,None
206,Wong Light,Kyle,Patterson,14,Grandson,NA,Male,Student,None,None
206,Wong Light,Adam,Patterson,4,Grandson,NA,Male,Child,None,None
207,Wong Light,Amy,Thomson-Foster,54,Head,Married,Female,Freight forwarder,None,Christian
207,Wong Light,Roy,Thomson-Foster,58,Husband,Married,Male,Paediatric nurse,None,Christian
207,Wong Light,Kerry,Thomson-Foster,16,Daughter,Unknown,Female,Student,None,None
208,Wong Light,Harry,Shah,57,Head,Single,Male,Academic librarian,None,Catholic
209,Wong Light,Amber,Sanders,53,Head,Married,Female,Press photographer,None,Catholic
209,Wong Light,Russell,Sanders,57,Husband,Married,Male,Purchasing manager,None,Catholic
209,Wong Light,Stuart,Sanders,24,Son,Single,Male,"Conservator, furniture",None,Catholic
210,Wong Light,Matthew,Heath,45,Head,Single,Male,Senior tax professional/tax inspector,None,Christian
210,Wong Light,Amber,Ellis,27,None,Single,Female,Water quality scientist,None,Muslim
210,Wong Light,Tracy,Gibson,32,None,Single,Female,Multimedia programmer,None,None
210,Wong Light,Robin,Fox,53,None,Single,Male,Race relations officer,None,Christian
210,Wong Light,Derek,Wallace,32,None,Single,Male,"Engineer, aeronautical",None,None
211,Wong Light,Kathleen,Harper,33,Head,Divorced,Female,Unemployed,None,None
211,Wong Light,Howard,Harper,11,Son,NA,Male,Student,None,None
211,Wong Light,Lewis,Harper,8,Son,NA,Male,Student,None,None
212,Wong Light,Katy,Browne,18,Head,Single,Female,University Student,None,Christian
212,Wong Light,Donald,Doherty,20,None,Single,Male,University Student,None,None
212,Wong Light,Heather,Barber,19,None,Single,Female,University Student,None,None
212,Wong Light,Clifford,Bradley,21,None,Single,Male,University Student,None,Christian
212,Wong Light,Bruce,Fisher,20,None,Single,Male,University Student,None,None
213,Wong Light,Natalie,Power,49,Head,Single,Female,Radiation protection practitioner,None,None
213,Wong Light,Colin,Carr,51,Partner,Single,Male,Camera operator,None,None
214,Wong Light,Jodie,Walton,45,Head,Married,Female,English as a second language teacher,None,Methodist
214,Wong Light,Steven,Walton,47,Husband,Married,Male,Fish farm manager,None,Methodist
214,Wong Light,Susan,Walton,2,Daughter,NA,Female,Child,None,None
215,Wong Light,Maria,Evans-White,24,Head,Married,Female,Horticultural therapist,None,None
215,Wong Light,Clifford,Evans-White,31,Husband,Married,Male,Soil scientist,None,None
215,Wong Light,Joseph,Goddard,22,Lodger,Single,Male,University Student,None,Catholic
216,Wong Light,Barbara,Davis,68,Head,Married,Female,Retired Forest/woodland manager,None,Christian
216,Wong Light,Steven,Davis,75,Husband,Married,Male,Retired Chiropodist,None,Christian
216,Wong Light,Shannon,Davis,34,Daughter,Single,Female,Graphic designer,None,None
217,Wong Light,Marian,Green,61,Head,Single,Female,Data scientist,None,Methodist
217,Wong Light,Suzanne,Green,35,Daughter,Single,Female,Police officer,None,Methodist
217,Wong Light,Jordan,Green,31,Son,Single,Male,"Designer, exhibition/display",None,None
218,Wong Light,Teresa,Hill,51,Head,Married,Female,Minerals surveyor,None,Christian
218,Wong Light,Trevor,Hill,53,Husband,Married,Male,Adult guidance worker,None,Christian
218,Wong Light,Heather,Hill,16,Daughter,Unknown,Female,Student,None,None
218,Wong Light,Elliot,Hill,13,Son,NA,Male,Student,None,None
219,Wong Light,Lynn,Berry,69,Head,Divorced,Female,Retired Sports coach,None,Christian
219,Wong Light,Paul,Berry,34,Son,Single,Male,"Production assistant, television",None,Christian
220,Wong Light,Beverley,Evans,21,Head,Divorced,Female,University Student,None,None
220,Wong Light,Rachael,Clarke,35,Lodger,Single,Female,"Nurse, adult",None,Methodist
220,Wong Light,Cheryl,Jones,35,Lodger,Single,Female,"Solicitor, Scotland",None,Methodist
221,Wong Light,Duncan,Stevens,69,Head,Married,Male,Retired Legal executive,None,None
221,Wong Light,Megan,Stevens,72,Wife,Married,Female,"Retired Therapist, speech and language",None,None
1,Robinson Bridge,Lauren,Patel,29,Head,Married,Female,Unemployed,None,Catholic
1,Robinson Bridge,Ricky,Patel,33,Husband,Married,Male,Unemployed,None,Catholic
2,Robinson Bridge,Cameron,Taylor,23,Head,Single,Male,"Engineer, site",None,None
2,Robinson Bridge,Jenna,Osborne,62,None,Single,Female,Higher education lecturer,None,None
3,Robinson Bridge,Frances,Owen,46,Head,Married,Female,Catering manager,None,None
3,Robinson Bridge,Ian,Owen,44,Husband,Married,Male,Sports administrator,None,None
3,Robinson Bridge,Eileen,Owen,16,Daughter,Unknown,Female,Student,None,None
4,Robinson Bridge,Christian,Arnold,73,Head,Single,Male,"Retired Exhibitions officer, museum/gallery",None,None
5,Robinson Bridge,Carol,Thomas,28,Head,Single,Female,Data scientist,None,None
5,Robinson Bridge,Jordan,Arnold,24,Cousin,Single,Male,"Administrator, charities/voluntary organisations",None,None
6,Robinson Bridge,Declan,Coles,75,Head,Married,Male,Retired Immunologist,None,Christian
6,Robinson Bridge,Rebecca,Coles,73,Wife,Married,Female,Retired Electrical engineer,None,None
7,Robinson Bridge,Chloe,Price,22,Head,Married,Female,University Student,None,Muslim
7,Robinson Bridge,Dylan,Price,24,Husband,Married,Male,Teaching laboratory technician,None,None
8,Robinson Bridge,Sean,Henderson,37,Head,Married,Male,Unemployed,None,None
8,Robinson Bridge,Jayne,Henderson,35,Wife,Married,Female,Community development worker,None,None
8,Robinson Bridge,Lynne,Henderson,3,Daughter,NA,Female,Child,None,None
8,Robinson Bridge,Mohammed,Henderson,1,Son,NA,Male,Child,None,None
8,Robinson Bridge,Mathew,Hudson,38,Lodger,Single,Male,"Secretary, company",None,Catholic
9,Robinson Bridge,Kirsty,Banks,34,Head,Single,Female,Unemployed,None,Christian
9,Robinson Bridge,Pauline,Thomas,50,Lodger,Divorced,Female,Fitness centre manager,None,Methodist
9,Robinson Bridge,Paula,Lee,43,Lodger,Divorced,Female,Dance movement psychotherapist,None,Christian
10,Robinson Bridge,Catherine,Murphy,86,Head,Widowed,Female,Retired Set designer,None,Methodist
11,Robinson Bridge,Marian,Owen,72,Head,Married,Female,"Retired Producer, television/film/video",None,Christian
11,Robinson Bridge,Vincent,Owen,73,Husband,Married,Male,Retired Applications developer,None,Christian
12,Robinson Bridge,Benjamin,Stephenson,48,Head,Single,Male,"Production assistant, radio",None,None
13,Robinson Bridge,Melanie,Jennings,43,Head,Divorced,Female,Lexicographer,None,Christian
13,Robinson Bridge,Jasmine,Jennings,5,Daughter,NA,Female,Student,None,None
14,Robinson Bridge,Alice,Baker,47,Head,Married,Female,"Scientist, physiological",None,Methodist
14,Robinson Bridge,Clive,Connolly,49,Husband,Married,Male,Civil Service fast streamer,None,None
14,Robinson Bridge,Mary,Baker,8,Daughter,NA,Female,Student,None,None
14,Robinson Bridge,Dean,Baker,6,Son,NA,Male,Student,Disabled,None
15,Robinson Bridge,Ruth,Armstrong,77,Head,Married,Female,Retired Psychiatric nurse,None,Christian
15,Robinson Bridge,Justin,Armstrong,79,Husband,Married,Male,Retired Financial controller,None,Christian
16,Robinson Bridge,Lynda,Hunt,66,Head,Married,Female,Community arts worker,None,None
16,Robinson Bridge,Dale,Hunt,69,Husband,Married,Male,Retired Event organiser,None,None
17,Robinson Bridge,Bernard,Higgins,21,Head,Single,Male,University Student,None,None
17,Robinson Bridge,Lorraine,Ahmed,19,Partner,Single,Female,University Student,None,None
18,Robinson Bridge,Albert,Wood,84,Head,Widowed,Male,Retired Event organiser,None,Christian
19,Robinson Bridge,Sheila,Pugh,56,Head,Widowed,Female,Stage manager,None,Methodist
19,Robinson Bridge,Scott,Pugh,18,Son,Single,Male,Student,None,Methodist
20,Robinson Bridge,Sylvia,Atkinson,36,Head,Single,Female,"Engineer, materials",None,None
20,Robinson Bridge,Raymond,Atkinson,15,Son,NA,Male,Student,None,None
1,Estuary Drive,Sylvia,Robinson,20,Head,Married,Female,University Student,None,None
1,Estuary Drive,Kieran,Robinson-Frost,19,Husband,Married,Male,University Student,None,None
1,Estuary Drive,Hilary,Robinson-Frost,3,Daughter,NA,Female,Child,None,None
2,Estuary Drive,Rhys,Kent,55,Head,Single,Male,Field seismologist,None,None
3,Estuary Drive,Sian,Taylor,61,Head,Divorced,Female,Dancer,None,Christian
3,Estuary Drive,Paul,Taylor,31,Son,Single,Male,Broadcast journalist,None,None
3,Estuary Drive,Dawn,Taylor,27,Daughter,Divorced,Female,Energy manager,None,None
4,Estuary Drive,Neil,Smith,66,Head,Married,Male,Biomedical engineer,None,Methodist
4,Estuary Drive,Jennifer,Smith,65,Wife,Married,Female,"Lecturer, further education",None,Methodist
5,Estuary Drive,Josh,Price,52,Head,Single,Male,"Production assistant, television",None,Methodist
5,Estuary Drive,Laura,Osborne,50,Partner,Single,Female,Banker,None,None
5,Estuary Drive,Connor,Price,15,Son,NA,Male,Student,None,None
6,Estuary Drive,Patrick,Kelly,28,Head,Single,Male,Occupational psychologist,None,Catholic
7,Estuary Drive,Pauline,Russell,18,Head,Divorced,Female,Student,None,None
8,Estuary Drive,Jenna,Taylor,60,Head,Single,Female,Statistician,None,Methodist
9,Estuary Drive,Stacey,Bennett,42,Head,Widowed,Female,Neurosurgeon,None,Christian
9,Estuary Drive,Martyn,Morrison,25,Son,Single,Male,"Buyer, industrial",None,Christian
10,Estuary Drive,Nathan,Holloway,65,Head,Single,Male,"Psychologist, sport and exercise",None,None
11,Estuary Drive,Rosie,Hussain,57,Head,Divorced,Female,Unemployed,None,Christian
11,Estuary Drive,Norman,Mann,30,Son,Single,Male,"Surveyor, building control",None,Christian
12,Estuary Drive,Damian,Humphreys,34,Head,Single,Male,"Engineer, aeronautical",None,None
13,Estuary Drive,Gareth,Allen,79,Head,Married,Male,"Retired Therapist, music",None,Christian
13,Estuary Drive,Brenda,Allen,71,Wife,Married,Female,"Retired Teacher, secondary school",None,Christian
13,Estuary Drive,Brandon,Allen,17,Grandson,Unknown,Male,Student,None,None
14,Estuary Drive,Alison,Mitchell,75,Head,Widowed,Female,Retired Dance movement psychotherapist,None,Catholic
15,Estuary Drive,Kim,Stewart,25,Head,Single,Female,Counselling psychologist,None,None
16,Estuary Drive,Abdul,Parker,75,Head,Widowed,Male,Retired Manufacturing engineer,None,Christian
17,Estuary Drive,Alan,Khan,66,Head,Widowed,Male,"Programme researcher, broadcasting/film/video",None,Christian
18,Estuary Drive,Raymond,Woodward,31,Head,Married,Male,Historic buildings inspector/conservation officer,None,Sikh
18,Estuary Drive,Caroline,Woodward,28,Wife,Married,Female,"Development worker, community",None,Sikh
19,Estuary Drive,Mathew,Carroll,40,Head,Married,Male,"Programmer, systems",None,None
19,Estuary Drive,Alison,Carroll,39,Wife,Married,Female,Unemployed,None,None
20,Estuary Drive,Gail,Day,89,Head,Single,Female,Retired International aid/development worker,None,None
21,Estuary Drive,Amy,Fleming,20,Head,Married,Female,University Student,None,None
21,Estuary Drive,Graeme,Fleming,25,Husband,Married,Male,Retail buyer,None,None
22,Estuary Drive,Sophie,Stewart,56,Head,Single,Female,Field seismologist,None,Christian
22,Estuary Drive,Ashley,Haynes,62,None,Single,Male,"Engineer, mining",None,Catholic
22,Estuary Drive,Robert,Briggs,49,None,Single,Male,Chief Technology Officer,None,Christian
23,Estuary Drive,Sophie,Campbell,23,Head,Single,Female,Research scientist (maths),None,None
23,Estuary Drive,Geoffrey,Thompson,44,None,Divorced,Male,Unemployed,None,Catholic
24,Estuary Drive,Guy,Conway,33,Head,Single,Male,Chief Operating Officer,None,None
24,Estuary Drive,Sandra,Green,29,Partner,Single,Female,Risk manager,None,None
25,Estuary Drive,Robin,Higgins,27,Head,Single,Male,Medical laboratory scientific officer,None,Methodist
26,Estuary Drive,Rebecca,Day,31,Head,Single,Female,"Production assistant, television",None,None
27,Estuary Drive,Pamela,Whittaker,40,Head,Married,Female,"Engineer, civil (consulting)",None,Catholic
27,Estuary Drive,Kenneth,Whittaker,42,Husband,Married,Male,Special effects artist,None,Catholic
28,Estuary Drive,Dale,Ward,44,Head,Single,Male,Environmental consultant,None,None
29,Estuary Drive,Daniel,Khan,69,Head,Widowed,Male,"Retired Geologist, engineering",None,Christian
30,Estuary Drive,Scott,Smith,55,Head,Divorced,Male,Planning and development surveyor,None,Catholic
31,Estuary Drive,Eleanor,Burton,48,Head,Single,Female,"Designer, textile",None,Christian
32,Estuary Drive,Ashleigh,Chambers,70,Head,Widowed,Female,Retired,None,Christian
33,Estuary Drive,David,Gibson,60,Head,Single,Male,Academic librarian,None,Christian
34,Estuary Drive,Donna,Hooper,19,Head,Single,Female,University Student,None,Catholic
35,Estuary Drive,Amelia,Moss,20,Head,Married,Female,University Student,None,Catholic
35,Estuary Drive,Thomas,Moss,26,Husband,Married,Male,"Surveyor, mining",None,Catholic
1,Khan Valley,Tom,Pearson,45,Head,Married,Male,Tax inspector,None,Catholic
1,Khan Valley,Shannon,Pearson,45,Wife,Married,Female,Unemployed,None,Christian
2,Khan Valley,William,Bennett,34,Head,Single,Male,"Horticulturist, commercial",None,Catholic
3,Khan Valley,James,Grant,60,Head,Single,Male,Learning disability nurse,None,Christian
4,Khan Valley,Patrick,Parsons,38,Head,Single,Male,"Engineer, electrical",None,None
5,Khan Valley,Helen,Quinn,71,Head,Divorced,Female,Retired Community pharmacist,None,Christian
6,Khan Valley,Heather,Perry,28,Head,Widowed,Female,Unemployed,None,None
6,Khan Valley,Lynda,Perry,8,Daughter,NA,Female,Student,None,None
6,Khan Valley,Julie,Perry,8,Daughter,NA,Female,Student,None,None
7,Khan Valley,Tina,Knight,74,Head,Widowed,Female,"Retired Programmer, applications",None,Methodist
8,Khan Valley,Margaret,Talbot,43,Head,Single,Female,Unemployed,None,Methodist
9,Khan Valley,Grace,Alexander,83,Head,Widowed,Female,Retired Lobbyist,None,Christian
10,Khan Valley,Amanda,Shaw,41,Head,Single,Female,Probation officer,None,Sikh
10,Khan Valley,Nathan,Marsh,39,Partner,Single,Male,Unemployed,None,Sikh
10,Khan Valley,Jane,Shaw,11,Daughter,NA,Female,Student,None,None
11,Khan Valley,Julie,Ashton,43,Head,Married,Female,Building surveyor,None,Catholic
11,Khan Valley,Steven,Ashton,47,Husband,Married,Male,Operational researcher,None,None
12,Khan Valley,Rebecca,Lees,83,Head,Single,Female,Retired Academic librarian,None,Christian
13,Khan Valley,Holly,Robinson,29,Head,Married,Female,Learning mentor,None,None
13,Khan Valley,Matthew,Robinson,30,Husband,Married,Male,Mining engineer,None,None
14,Khan Valley,Amber,Davis,69,Head,Divorced,Female,"Retired Journalist, magazine",None,Christian
15,Khan Valley,Charlie,Grant,52,Head,Married,Male,"Administrator, charities/voluntary organisations",None,None
15,Khan Valley,Helen,Grant,47,Wife,Married,Female,Lawyer,None,None
16,Khan Valley,Mary,McDonald,39,Head,Single,Female,Writer,None,None
16,Khan Valley,John,McDonald,7,Son,NA,Male,Student,None,None
17,Khan Valley,Mohammed,Ali,77,Head,Widowed,Male,Retired Meteorologist,None,None
18,Khan Valley,Jordan,Davis,74,Head,Widowed,Male,Retired Retail manager,None,Catholic
19,Khan Valley,Andrea,Grant,30,Head,Divorced,Female,Sports administrator,None,None
20,Khan Valley,Lydia,Patel,60,Head,Married,Female,Estate agent,None,Christian
20,Khan Valley,Conor,Patel,61,Husband,Married,Male,Manufacturing systems engineer,None,Christian
20,Khan Valley,Danny,Patel,14,Son,NA,Male,Student,None,None
21,Khan Valley,Dorothy,Smith,61,Head,Single,Female,"Surveyor, insurance",None,Catholic
22,Khan Valley,Leanne,Robinson,43,Head,Divorced,Female,Ophthalmologist,None,Christian
22,Khan Valley,Elliott,Robinson,10,Son,NA,Male,Student,None,None
22,Khan Valley,Jodie,Robinson,6,Daughter,NA,Female,Student,None,None
23,Khan Valley,Ellie,Walker,60,Head,Divorced,Female,Comptroller,None,Sikh
23,Khan Valley,Dorothy,Walker,12,Daughter,NA,Female,Student,None,None
24,Khan Valley,Wendy,Hodgson,79,Head,Widowed,Female,"Retired Civil engineer, consulting",None,None
25,Khan Valley,Jade,Thompson,89,Head,Widowed,Female,Retired Structural engineer,None,None
26,Khan Valley,Judith,Osborne,67,Head,Divorced,Female,Chief Technology Officer,None,None
27,Khan Valley,Rosemary,Thomas,103,Head,Widowed,Female,Retired Industrial/product designer,None,Christian
28,Khan Valley,Grace,Carr,64,Head,Divorced,Female,"Engineer, broadcasting (operations)",None,None
29,Khan Valley,Lynne,Wright,75,Head,Married,Female,Retired Education administrator,None,None
29,Khan Valley,Max,Wright,77,Husband,Married,Male,"Retired Administrator, local government",None,None
30,Khan Valley,Phillip,Williams,77,Head,Married,Male,Retired Network engineer,None,Christian
30,Khan Valley,Yvonne,Williams,78,Wife,Married,Female,"Retired Journalist, broadcasting",None,None
31,Khan Valley,Victoria,Taylor,54,Head,Married,Female,"Psychologist, forensic",None,Christian
31,Khan Valley,Darren,Taylor,58,Husband,Married,Male,"Scientist, research (medical)",None,None
31,Khan Valley,Clare,Taylor,20,Daughter,Single,Female,University Student,None,Christian
32,Khan Valley,Victor,Harris,61,Head,Married,Male,Environmental consultant,None,Christian
32,Khan Valley,Natasha,Harris,58,Wife,Married,Female,Pharmacologist,None,Christian
32,Khan Valley,Keith,Harris,17,Son,Unknown,Male,Student,None,None
33,Khan Valley,Carl,Kelly,74,Head,Widowed,Male,Retired,None,None
34,Khan Valley,Graham,Jones,75,Head,Single,Male,"Retired Scientist, marine",None,Christian
35,Khan Valley,Ben,Smith,88,Head,Divorced,Male,Retired Geophysical data processor,None,Catholic
36,Khan Valley,Thomas,Savage,38,Head,Single,Male,Patent attorney,None,Jewish
37,Khan Valley,Carol,Schofield,55,Head,Single,Female,Public librarian,None,Christian
37,Khan Valley,Jake,Ali,58,Partner,Single,Male,Unemployed,None,Christian
38,Khan Valley,Lindsey,Simmons,30,Head,Single,Female,"Doctor, hospital",None,Muslim
39,Khan Valley,Dale,Hammond,53,Head,Single,Male,"Engineer, energy",None,Christian
40,Khan Valley,Nicholas,Young,87,Head,Widowed,Male,"Retired Nurse, adult",None,Christian
41,Khan Valley,Shannon,Scott,70,Head,Married,Female,Retired Armed forces technical officer,None,Methodist
41,Khan Valley,Graeme,Scott,70,Husband,Married,Male,"Retired Administrator, sports",None,Methodist
42,Khan Valley,Julie,Jones,30,Head,Divorced,Female,Soil scientist,None,None
43,Khan Valley,Lynn,Green,71,Head,Widowed,Female,Retired,None,None
43,Khan Valley,Garry,Green,14,Grandson,NA,Male,Student,None,None
44,Khan Valley,Callum,Murray,34,Head,Single,Male,Chemical engineer,None,None
44,Khan Valley,Lesley,Brooks,32,Partner,Single,Female,"Psychologist, educational",None,None
45,Khan Valley,Philip,Turner,64,Head,Single,Male,Accounting technician,None,Christian
45,Khan Valley,Denise,Wilson,61,Partner,Single,Female,Unemployed,None,Christian
46,Khan Valley,Mitchell,Watson,31,Head,Single,Male,Associate Professor,None,Catholic
47,Khan Valley,Paige,Robson,37,Head,Single,Female,"Engineer, maintenance (IT)",None,None
47,Khan Valley,Louis,Robson,11,Son,NA,Male,Student,None,None
47,Khan Valley,Louise,Robson,8,Daughter,NA,Female,Student,None,None
48,Khan Valley,Catherine,Stokes-Hart,40,Head,Divorced,Female,Psychotherapist,None,None
48,Khan Valley,Julia,Stokes-Hart,8,Niece,NA,Female,Student,None,None
48,Khan Valley,Ann,Stokes-Hart,6,Niece,NA,Female,Student,None,None
49,Khan Valley,Ashleigh,Quinn,78,Head,Widowed,Female,Retired Firefighter,None,Methodist
50,Khan Valley,Christopher,Khan,83,Head,Widowed,Male,Retired Commissioning editor,None,Christian
51,Khan Valley,Francis,Lewis,34,Head,Divorced,Male,TEFL teacher,None,Catholic
51,Khan Valley,Fiona,Lewis,6,Daughter,NA,Female,Student,None,None
52,Khan Valley,Ruth,Hall,69,Head,Single,Female,"Retired Scientist, audiological",None,None
53,Khan Valley,Leigh,Butcher,58,Head,Single,Male,"Geologist, engineering",None,Christian
1,Wolverhampton Avenue,Cheryl,Jones,55,Head,Married,Female,Training and development officer,None,Muslim
1,Wolverhampton Avenue,Stewart,Jones,58,Husband,Married,Male,Freight forwarder,None,Muslim
1,Wolverhampton Avenue,Marie,Jones,24,Daughter,Divorced,Female,Computer games developer,None,Muslim
1,Wolverhampton Avenue,Paula,Jones,22,Daughter,Divorced,Female,University Student,None,Muslim
1,Wolverhampton Avenue,Clive,Jones,17,Son,Unknown,Male,Student,None,None
1,Wolverhampton Avenue,Louise,Jones,17,Daughter,Unknown,Female,Student,None,None
1,Wolverhampton Avenue,Dennis,Jones,16,Son,Unknown,Male,Student,None,None
1,Wolverhampton Avenue,Albert,Jones,11,Son,NA,Male,Student,None,None
1,Wolverhampton Avenue,Stewart,Jones,10,Son,NA,Male,Student,None,None
1,Wolverhampton Avenue,Gerard,Jones,6,Son,NA,Male,Student,None,None
1,Wolverhampton Avenue,Samuel,Jones,5,Son,NA,Male,Student,None,None
1,Wolverhampton Avenue,Dennis,Jones,1,Son,NA,Male,Child,None,None
2,Wolverhampton Avenue,Leanne,Watts,55,Head,Married,Female,Sub,None,Methodist
2,Wolverhampton Avenue,Terence,Watts,62,Husband,Married,Male,Computer games developer,None,Methodist
2,Wolverhampton Avenue,Alexander,Watts,27,Son,Single,Male,"Designer, television/film set",None,Methodist
2,Wolverhampton Avenue,Kim,Watts,27,Daughter,Single,Female,Energy engineer,None,None
2,Wolverhampton Avenue,Brandon,Watts,22,Son,Single,Male,University Student,None,Methodist
2,Wolverhampton Avenue,Rosemary,Watts,21,Daughter,Divorced,Female,University Student,None,Methodist
2,Wolverhampton Avenue,Tina,Watts,11,Daughter,NA,Female,Student,None,None
2,Wolverhampton Avenue,Russell,Watts,4,Son,NA,Male,Child,None,None
2,Wolverhampton Avenue,Hollie,Watts,1,Daughter,NA,Female,Child,None,None
2,Wolverhampton Avenue,Nicola,Rowe,55,Lodger,Single,Female,Cytogeneticist,None,Christian
3,Wolverhampton Avenue,Dorothy,Robinson,49,Head,Single,Female,Adult guidance worker,None,None
3,Wolverhampton Avenue,Frederick,Jones,51,Partner,Single,Male,"Lighting technician, broadcasting/film/video",None,None
3,Wolverhampton Avenue,John,Robinson,9,Son,NA,Male,Student,None,None
3,Wolverhampton Avenue,Gavin,Robinson,9,Son,NA,Male,Student,None,None
3,Wolverhampton Avenue,Josh,Robinson,5,Son,NA,Male,Student,None,None
3,Wolverhampton Avenue,Carl,Robinson,3,Son,NA,Male,Child,None,None
3,Wolverhampton Avenue,Aaron,Black,40,Lodger,Divorced,Male,Automotive engineer,None,Methodist
3,Wolverhampton Avenue,Jean,Hall,25,Lodger,Single,Female,Medical technical officer,None,Catholic
3,Wolverhampton Avenue,Chloe,Martin,21,Lodger,Divorced,Female,University Student,None,Methodist
3,Wolverhampton Avenue,Shane,Day,33,Lodger,Divorced,Male,Television/film/video producer,None,None
4,Wolverhampton Avenue,Suzanne,Reed,42,Head,Married,Female,"Surveyor, minerals",None,Bahai
4,Wolverhampton Avenue,Vincent,Reed,44,Husband,Married,Male,Proofreader,None,Bahai
4,Wolverhampton Avenue,Jasmine,Reed,10,Daughter,NA,Female,Student,None,None
4,Wolverhampton Avenue,George,Reed,9,Son,NA,Male,Student,None,None
5,Wolverhampton Avenue,Lesley,Moore,36,Head,Single,Female,Medical technical officer,None,Catholic
5,Wolverhampton Avenue,Josh,Skinner,62,None,Single,Male,Animal nutritionist,None,Christian
5,Wolverhampton Avenue,Jeremy,Bell,48,None,Single,Male,Bonds trader,None,None
5,Wolverhampton Avenue,Jordan,Davies,51,None,Single,Male,"Administrator, charities/voluntary organisations",None,Christian
5,Wolverhampton Avenue,Marc,Jackson,28,None,Single,Male,Camera operator,None,Jewish
6,Wolverhampton Avenue,Janice,Webb,40,Head,Married,Female,"Accountant, chartered public finance",None,Methodist
6,Wolverhampton Avenue,Arthur,Webb,42,Husband,Married,Male,"Programme researcher, broadcasting/film/video",None,Methodist
6,Wolverhampton Avenue,Stanley,Webb,15,Son,NA,Male,Student,None,None
6,Wolverhampton Avenue,John,Webb,11,Son,NA,Male,Student,None,None
6,Wolverhampton Avenue,Darren,Webb,5,Son,NA,Male,Student,None,None
6,Wolverhampton Avenue,Clive,Webb,1,Son,NA,Male,Child,None,None
6,Wolverhampton Avenue,Heather,Jackson,29,Lodger,Widowed,Female,Medical illustrator,None,None
7,Wolverhampton Avenue,Garry,Allen,61,Head,Single,Male,Unemployed,None,Christian
7,Wolverhampton Avenue,Josephine,Richards,57,Partner,Single,Female,Photographer,None,Christian
8,Wolverhampton Avenue,Marilyn,Arnold,36,Head,Divorced,Female,Agricultural engineer,None,Catholic
8,Wolverhampton Avenue,Lindsey,Arnold,2,Daughter,NA,Female,Child,None,None
8,Wolverhampton Avenue,Kimberley,Hayes,57,Visitor,Divorced,Female,Advertising account executive,None,Christian
8,Wolverhampton Avenue,Emma,Ward,26,Sibling,Single,Female,Gaffer,None,Christian
8,Wolverhampton Avenue,Elizabeth,Yates,24,Lodger,Divorced,Female,Broadcast journalist,None,None
9,Wolverhampton Avenue,Zoe,Warren,70,Head,Married,Female,Retired Illustrator,None,Muslim
9,Wolverhampton Avenue,Eric,Warren,73,Husband,Married,Male,Retired Glass blower/designer,None,Muslim
9,Wolverhampton Avenue,Jay,Warren,32,Son,Divorced,Male,Dietitian,None,Muslim
9,Wolverhampton Avenue,Jane,Warren,25,Daughter,Divorced,Female,Higher education careers adviser,None,Muslim
9,Wolverhampton Avenue,Yvonne,Warren,22,Daughter,Divorced,Female,University Student,None,Muslim
10,Wolverhampton Avenue,Ronald,Johnson,23,Head,Married,Male,"Engineer, control and instrumentation",None,None
10,Wolverhampton Avenue,Claire,Johnson,19,Wife,Married,Female,University Student,None,None
10,Wolverhampton Avenue,Dennis,Taylor,26,Lodger,Single,Male,Counselling psychologist,None,None
10,Wolverhampton Avenue,Amanda,Jones,63,Lodger,Divorced,Female,Estate manager/land agent,None,Christian
10,Wolverhampton Avenue,Katie,Francis,22,Lodger,Single,Female,University Student,None,Catholic
11,Wolverhampton Avenue,Carole,Richardson,72,Head,Married,Female,Retired Data processing manager,None,Methodist
11,Wolverhampton Avenue,Jake,Richardson,77,Husband,Married,Male,Retired Astronomer,None,Methodist
11,Wolverhampton Avenue,Rita,Richardson,45,Daughter,Single,Female,"Producer, radio",None,Methodist
